# x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,r, rs, y0, y1, y2, y3, actual_r, actual_p, actual_y, desired_r, desired_p, desired_y, rpm0, rpm1, rpm2, rpm3
-89.38446044921875,2.008828639984131,6.880473613739014,-23.12348747253418,-2.811075210571289,-6.880473613739014,-0.3946399688720703,0.19565749168395996,0.9358487129211426,0.054154545068740845,0.03476294130086899,-0.12431585043668747,0.005977678578346968,0.7298194763558451,{"closeness": 0.7298194763558451},0.5303297135978937,0.4894177317619324,0.5150315901264548,0.49566926434636116,-23.12348747253418,-2.811075210571289,-6.880473613739014,-112.50794792175293,-0.8022465705871582,0.0,1.0,1.0,1.0,1.0
-88.26592254638672,2.7691545486450195,8.392202377319336,-24.2637882232666,-3.5714011192321777,-8.392202377319336,-1.1403007507324219,-0.7603259086608887,-1.5117287635803223,0.06065942719578743,-0.021164536476135254,0.03006318025290966,-0.00866147130727768,0.724261673477948,{"closeness": 0.724261673477948},0.5390835516154766,0.46902776695787907,0.5533812008798122,0.49823950964491814,-24.2637882232666,-3.5714011192321777,-8.392202377319336,-112.52971076965332,-0.8022465705871582,0.0,1.0,1.0,1.0,1.0
-88.06767272949219,3.624915599822998,7.992103099822998,-24.483802795410156,-4.427162170410156,-7.992103099822998,-0.2200145721435547,-0.8557610511779785,0.4000992774963379,0.07816710323095322,-0.06194446608424187,0.10676240175962448,-0.0035209807101637125,0.7229782071807764,{"closeness": 0.7229782071807764},0.5455756224691868,0.472267122939229,0.5433874130249023,0.4598003104329109,-24.483802795410156,-4.427162170410156,-7.992103099822998,-112.55147552490234,-0.8022465705871582,0.0,1.0,1.0,1.0,1.0
-87.22024536132812,2.9861533641815186,7.012292385101318,-25.352975845336914,-3.7883999347686768,-7.012292385101318,-0.8691730499267578,0.6387622356414795,0.9798107147216797,0.09115124493837357,-0.05546575412154198,0.08677482604980469,-0.08039937913417816,0.7294491815237056,{"closeness": 0.7294491815237056},0.5259606167674065,0.4880997072905302,0.5071702902205288,0.5356619693338871,-25.352975845336914,-3.7883999347686768,-7.012292385101318,-112.57322120666504,-0.8022465705871582,0.0,1.0,1.0,1.0,1.0
-87.51053619384766,1.9941051006317139,7.0099005699157715,-25.084457397460938,-2.796351671218872,-7.0099005699157715,0.26851844787597656,0.9920482635498047,0.002391815185546875,0.05192123353481293,-0.02380058541893959,0.014340580441057682,0.0713239386677742,0.7323415416075826,{"closeness": 0.7323415416075826},0.5206964239478111,0.5097076911479235,0.48764703795313835,0.49747640546411276,-25.084457397460938,-2.796351671218872,-7.0099005699157715,-112.5949935913086,-0.8022465705871582,0.0,1.0,1.0,1.0,1.0
-86.7490005493164,1.9118907451629639,5.946860313415527,-25.867761611938477,-2.714137315750122,-5.946860313415527,-0.7833042144775391,0.08221435546875,1.0630402565002441,0.04139284789562225,0.01941538229584694,-0.024705924093723297,-0.005047189071774483,0.7372129165908775,{"closeness": 0.7372129165908775},0.5238214172422886,0.4875802919268608,0.5269268229603767,0.5087456870824099,-25.867761611938477,-2.714137315750122,-5.946860313415527,-112.61676216125488,-0.8022465705871582,0.0,1.0,1.0,1.0,1.0
-86.433349609375,1.576491117477417,7.414270877838135,-26.18777847290039,-2.378737688064575,-7.414270877838135,-0.32001686096191406,0.3353996276855469,-1.4674105644226074,0.04764283448457718,-0.02483941614627838,0.05385364592075348,0.017491374164819717,0.7341606690193382,{"closeness": 0.7341606690193382},0.5216892883181572,0.49186212103813887,0.5147009138017893,0.5005974171217531,-26.18777847290039,-2.378737688064575,-7.414270877838135,-112.62112808227539,-0.8022465705871582,0.0,1.0,1.0,1.0,1.0
-86.24308013916016,3.5244197845458984,7.14471960067749,-26.382400512695312,-4.326666355133057,-7.14471960067749,-0.19462203979492188,-1.9479286670684814,0.26955127716064453,0.04337857663631439,-0.016275757923722267,0.029401827603578568,0.0011948342435061932,0.7287610827649686,{"closeness": 0.7287610827649686},0.5504718273878098,0.4628155790269375,0.5772322937846184,0.4216642677783966,-26.382400512695312,-4.326666355133057,-7.14471960067749,-112.62548065185547,-0.8022465705871582,0.0,1.0,1.0,1.0,1.0
-85.78707885742188,3.413998603820801,8.41890811920166,-26.842727661132812,-4.216245174407959,-8.41890811920166,-0.4603271484375,0.11042118072509766,-1.27418851852417,0.1009436547756195,-0.07436884194612503,0.15446458756923676,-0.1566714644432068,0.7258624639579784,{"closeness": 0.7258624639579784},0.5313321463763714,0.48430163227021694,0.5162798725068569,0.49786592833697796,-26.842727661132812,-4.216245174407959,-8.41890811920166,-112.62980651855469,-0.8022465705871582,0.0,1.0,1.0,1.0,1.0
-86.95884704589844,2.3972413539886475,6.95408821105957,-25.675325393676758,-3.1994879245758057,-6.95408821105957,1.1674022674560547,1.0167572498321533,1.4648199081420898,0.06266429275274277,-0.031396735459566116,0.03255974501371384,-0.004268143326044083,0.7320120019962101,{"closeness": 0.7320120019962101},0.5259418617933989,0.5200776923447847,0.4397691376507282,0.4830844160169363,-25.675325393676758,-3.1994879245758057,-6.95408821105957,-112.6341724395752,-0.8022465705871582,0.0,1.0,1.0,1.0,1.0
