# x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,r, rs, y0, y1, y2, y3, actual_r, actual_p, actual_y, desired_r, desired_p, desired_y, rpm0, rpm1, rpm2, rpm3
-2.7353553771972656,22.06686782836914,7.057801246643066,6.79215145111084,-22.86911392211914,-7.057801246643066,0.36158037185668945,0.07312965393066406,0.48682308197021484,0.0015061486046761274,-0.10464511811733246,0.040934063494205475,0.09877094626426697,0.8727225370145392,{"closeness": 0.8727225370145392},0.5009462225716561,0.4484958313405514,0.5210918430238962,0.5505555383861065,6.79215145111084,-22.86911392211914,-7.057801246643066,4.056796073913574,-0.80224609375,0.0,1.0,1.0,1.0,1.0
-2.9777979850769043,21.705904006958008,6.4442667961120605,7.0345940589904785,-22.508150100708008,-6.4442667961120605,0.24244260787963867,0.3609638214111328,0.6135344505310059,0.0018924451433122158,-0.10300833731889725,0.042183686047792435,0.10111107677221298,0.8752263475808305,{"closeness": 0.8752263475808305},0.4965710728429258,0.45054494589567184,0.5218375753611326,0.5437585711479187,7.0345940589904785,-22.508150100708008,-6.4442667961120605,4.056796073913574,-0.80224609375,0.0,1.0,1.0,1.0,1.0
-3.264224052429199,21.186737060546875,6.568711757659912,7.321020126342773,-21.988983154296875,-6.568711757659912,0.2864260673522949,0.5191669464111328,-0.12444496154785156,-0.006857854314148426,-0.09891010820865631,0.043675150722265244,0.0875171422958374,0.8752653109936416,{"closeness": 0.8752653109936416},0.4942991971038282,0.4512280970811844,0.5221716109663248,0.5414025373756886,7.321020126342773,-21.988983154296875,-6.568711757659912,4.056796073913574,-0.80224609375,0.0,1.0,1.0,1.0,1.0
-3.834433078765869,20.885772705078125,6.678681373596191,7.891229152679443,-21.688018798828125,-6.678681373596191,0.5702090263366699,0.30096435546875,-0.1099696159362793,-0.011401605792343616,-0.09754380583763123,0.04434322193264961,0.0828050747513771,0.8735508927894406,{"closeness": 0.8735508927894406},0.5039255707524717,0.4511749893426895,0.5220568105578423,0.5366546958684921,7.891229152679443,-21.688018798828125,-6.678681373596191,4.056796073913574,-0.80224609375,0.0,1.0,1.0,1.0,1.0
-4.052292823791504,20.231456756591797,7.167946815490723,8.109088897705078,-21.033702850341797,-7.167946815490723,0.21785974502563477,0.6543159484863281,-0.48926544189453125,0.00785114150494337,-0.09765002131462097,0.04411362111568451,0.07330939173698425,0.8729450339354553,{"closeness": 0.8729450339354553},0.4934312682598829,0.45130280777812004,0.522352322936058,0.5384150333702564,8.109088897705078,-21.033702850341797,-7.167946815490723,4.056796073913574,-0.80224609375,0.0,1.0,1.0,1.0,1.0
-4.464282989501953,19.660419464111328,7.988278388977051,8.521079063415527,-20.462665557861328,-7.988278388977051,0.4119901657104492,0.5710372924804688,-0.8203315734863281,-0.013137463480234146,-0.09739438444375992,0.04470464587211609,0.07683006674051285,0.8701056781396161,{"closeness": 0.8701056781396161},0.500548213487491,0.4514383226633072,0.5226776637136936,0.5358225405216217,8.521079063415527,-20.462665557861328,-7.988278388977051,4.056796073913574,-0.80224609375,0.0,1.0,1.0,1.0,1.0
-4.777318000793457,19.07320785522461,8.808910369873047,8.834114074707031,-19.87545394897461,-8.808910369873047,0.3130350112915039,0.5872116088867188,-0.8206319808959961,0.0010964269749820232,-0.09712335467338562,0.04535532742738724,0.07164508104324341,0.867761956850106,{"closeness": 0.867761956850106},0.4996029809990432,0.4507492110133171,0.5227397102862597,0.5399614870548248,8.834114074707031,-19.87545394897461,-8.808910369873047,4.056796073913574,-0.80224609375,0.0,1.0,1.0,1.0,1.0
-5.123851776123047,18.683143615722656,9.615405082702637,9.180647850036621,-19.485389709472656,-9.615405082702637,0.34653377532958984,0.3900642395019531,-0.8064947128295898,-0.0007940380019135773,-0.09850157797336578,0.0454794205725193,0.07992297410964966,0.8647542294060367,{"closeness": 0.8647542294060367},0.5010309055214748,0.44939450174570084,0.5226759426295757,0.5442589223384857,9.180647850036621,-19.485389709472656,-9.615405082702637,4.056796073913574,-0.80224609375,0.0,1.0,1.0,1.0,1.0
-5.58051872253418,18.409799575805664,10.435425758361816,9.637314796447754,-19.212045669555664,-10.435425758361816,0.4566669464111328,0.2733440399169922,-0.8200206756591797,0.0020618110429495573,-0.10121099650859833,0.04535188525915146,0.08851784467697144,0.8609517773813573,{"closeness": 0.8609517773813573},0.5050698048435152,0.4473419338464737,0.5221347194164991,0.5458075664937496,9.637314796447754,-19.212045669555664,-10.435425758361816,4.056796073913574,-0.80224609375,0.0,1.0,1.0,1.0,1.0
-5.711698532104492,18.102048873901367,11.114154815673828,9.768494606018066,-18.904294967651367,-11.114154815673828,0.1311798095703125,0.3077507019042969,-0.6787290573120117,0.010139609687030315,-0.10531613230705261,0.044269438832998276,0.09161513298749924,0.8590454825156665,{"closeness": 0.8590454825156665},0.4967030838597566,0.4466892443597317,0.5225292276591063,0.554732158780098,9.768494606018066,-18.904294967651367,-11.114154815673828,4.056796073913574,-0.80224609375,0.0,1.0,1.0,1.0,1.0
-5.982418060302734,17.91683578491211,11.593865394592285,10.039214134216309,-18.71908187866211,-11.593865394592285,0.2707195281982422,0.1852130889892578,-0.47971057891845703,-0.006593832280486822,-0.10662151128053665,0.04505845531821251,0.10946431756019592,0.8569401364112824,{"closeness": 0.8569401364112824},0.5005962622235529,0.4450746700167656,0.5221075974404812,0.5563689209520817,10.039214134216309,-18.71908187866211,-11.593865394592285,4.056796073913574,-0.80224609375,0.0,1.0,1.0,1.0,1.0
-5.9866485595703125,17.66034698486328,11.854354858398438,10.043444633483887,-18.46259307861328,-11.854354858398438,0.004230499267578125,0.2564888000488281,-0.26048946380615234,0.001192524447105825,-0.10985065996646881,0.04421519488096237,0.11273784190416336,0.8568483239243044,{"closeness": 0.8568483239243044},0.4940688186325133,0.44510843977332115,0.5223506353795528,0.5623800307512283,10.043444633483887,-18.46259307861328,-11.854354858398438,4.056796073913574,-0.80224609375,0.0,1.0,1.0,1.0,1.0
